filename,pixel_number,retrieved_aod,truth_aod,latitude,longitude
ss450-g5nr.leV120.GRASP.example_20060813_1900Z.polarimeter07.20060813_1900z_RETRIEVED.nc4,6393,4.5814,0.5013737678527832,13.9923,-94.1801
ss450-g5nr.leV120.GRASP.example_20060813_1900Z.polarimeter07.20060813_1900z_RETRIEVED.nc4,6394,4.09,0.5003442764282227,13.9923,-94.1801
ss450-g5nr.leV120.GRASP.example_20060813_1900Z.polarimeter07.20060813_1900z_RETRIEVED.nc4,6464,5.5372,0.3928915560245514,14.565,-94.2951
ss450-g5nr.leV120.GRASP.example_20060813_1900Z.polarimeter07.20060813_1900z_RETRIEVED.nc4,6465,5.0988,0.3915570378303528,14.565,-94.2951
ss450-g5nr.leV120.GRASP.example_20060813_1900Z.polarimeter07.20060813_1900z_RETRIEVED.nc4,6466,4.6707,0.3895598351955414,14.565,-94.2951
ss450-g5nr.leV120.GRASP.example_20060803_0400Z.polarimeter07.20060803_0400z_RETRIEVED.nc4,5064,5.5632,0.4014595150947571,28.0314,136.8953
ss450-g5nr.leV120.GRASP.example_20060803_0400Z.polarimeter07.20060803_0400z_RETRIEVED.nc4,5065,5.1212,0.40059494972229004,28.0314,136.8953
ss450-g5nr.leV120.GRASP.example_20060803_0400Z.polarimeter07.20060803_0400z_RETRIEVED.nc4,5066,4.7449,0.39936280250549316,28.0314,136.8953
ss450-g5nr.leV120.GRASP.example_20060803_0400Z.polarimeter07.20060803_0400z_RETRIEVED.nc4,5072,5.3995,0.4401036500930786,28.095,136.8808
ss450-g5nr.leV120.GRASP.example_20060803_0400Z.polarimeter07.20060803_0400z_RETRIEVED.nc4,5073,4.9908,0.4391669034957886,28.095,136.8808
ss450-g5nr.leV120.GRASP.example_20060803_0400Z.polarimeter07.20060803_0400z_RETRIEVED.nc4,5074,4.6671,0.4378930628299713,28.095,136.8808
ss450-g5nr.leV120.GRASP.example_20060902_1900Z.polarimeter07.20060902_1900z_RETRIEVED.nc4,7152,4.6416,0.4094700217247009,12.625,-94.4551
ss450-g5nr.leV120.GRASP.example_20060902_1900Z.polarimeter07.20060902_1900z_RETRIEVED.nc4,7153,4.3153,0.4087831974029541,12.625,-94.4551
ss450-g5nr.leV120.GRASP.example_20060902_1900Z.polarimeter07.20060902_1900z_RETRIEVED.nc4,7154,4.0268,0.40785396099090576,12.625,-94.4551
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4264,5.5209,0.4061323404312134,12.9199,-113.2984
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4265,5.078,0.4053943157196045,12.9199,-113.2984
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4266,4.6756,0.4043450653553009,12.9199,-113.2984
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4272,5.4932,0.4108666777610779,12.9835,-113.3111
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4273,5.0682,0.41014885902404785,12.9835,-113.3111
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4274,4.6695,0.4091166853904724,12.9835,-113.3111
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4328,5.2916,0.4302782714366913,13.4293,-113.4
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4329,4.8824,0.4299009144306183,13.4293,-113.4
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4330,4.547,0.4294276833534241,13.4293,-113.4
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4336,4.35,0.45504963397979736,13.493,-113.4128
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4337,4.117,0.454598993062973,13.493,-113.4128
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4944,4.6172,0.38184550404548645,18.3323,-114.3949
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4945,4.285,0.38105493783950806,18.3323,-114.3949
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4946,4.011,0.3799527883529663,18.3323,-114.3949
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4952,4.6122,0.3921228349208832,18.3959,-114.408
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4953,4.279,0.3914192318916321,18.3959,-114.408
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4954,4.002,0.3904452919960022,18.3959,-114.408
ss450-g5nr.leV120.GRASP.example_20060905_2100Z.polarimeter07.20060905_2100z_RETRIEVED.nc4,4960,4.2763,0.41758981347084045,18.4596,-114.4212
ss450-g5nr.leV120.GRASP.example_20060908_2200Z.polarimeter07.20060908_2200z_RETRIEVED.nc4,7280,5.4222,0.42639780044555664,11.6235,-131.8257
ss450-g5nr.leV120.GRASP.example_20060908_2200Z.polarimeter07.20060908_2200z_RETRIEVED.nc4,7281,4.9933,0.42596539855003357,11.6235,-131.8257
ss450-g5nr.leV120.GRASP.example_20060908_2200Z.polarimeter07.20060908_2200z_RETRIEVED.nc4,7282,4.6427,0.42542213201522827,11.6235,-131.8257
